accel_x, accel_y, accel_z
1.034912,-0.008300781,-0.02636719
1.036133,-0.01733398,-0.02856445
1.037109,-0.006103516,-0.01953125
1.039551,-0.0002441406,-0.02905273
1.043213,-0.01098633,-0.02807617
1.031494,-0.007568359,-0.01660156
1.038818,-0.01367188,-0.03344727
1.041504,-0.006103516,-0.02050781
1.047119,-0.005859375,-0.02197266
1.034424,-0.0078125,-0.01953125
1.038818,-0.0078125,-0.02392578
1.03833,-0.01049805,-0.02832031
1.039551,-0.009521484,-0.02270508
1.040039,-0.008056641,-0.02441406
1.034912,-0.006347656,-0.02490234
1.0354,-0.005371094,-0.02148438
1.036377,-0.01660156,-0.02905273
1.037842,-0.01464844,-0.03320313
1.039063,-0.01074219,-0.02416992
