accel_x, accel_y, accel_z
0.9897461,-0.3071289,0.9050293
1.005859,-0.3017578,0.9099121
0.9943848,-0.2990723,0.9089355
0.9963379,-0.2998047,0.9082031
0.9975586,-0.3027344,0.9152832
1.008301,-0.3078613,0.9040527
1.000244,-0.3046875,0.9140625
0.9919434,-0.3010254,0.9082031
1.000488,-0.3068848,0.9116211
0.9943848,-0.3051758,0.9123535
0.9980469,-0.2980957,0.9111328
0.987793,-0.3093262,0.9162598
1.002197,-0.3015137,0.9069824
0.9909668,-0.307373,0.9211426
0.9963379,-0.3034668,0.9150391
0.9934082,-0.3034668,0.9108887
0.9946289,-0.3034668,0.9084473
