accel_x, accel_y, accel_z
0.01733398,0.0002441406,1.077637
0.02172852,-0.0007324219,1.072754
0.02270508,-0.002441406,1.075928
0.01904297,-0.002441406,1.069824
0.02880859,0.001708984,1.072998
0.01977539,0.002197266,1.064941
0.01708984,-0.001220703,1.079102
0.01806641,0.004150391,1.075439
0.02026367,-0.001220703,1.087891
0.01855469,0.0002441406,1.068848
0.02050781,0.002197266,1.080322
0.02124023,-0.0009765625,1.072021
0.02514648,0.002929688,1.06543
0.02612305,-0.003417969,1.064697
0.02587891,-0.0004882813,1.06958
0.02587891,-0.002929688,1.077148
0.02246094,-0.001220703,1.071777
