accel_x, accel_y, accel_z
-0.006347656,-0.078125,0.7722168
-0.06542969,0.2236328,1.999939
0.2348633,0.07128906,0.8930664
-0.03027344,-0.1467285,-1.231201
-0.01196289,-0.0690918,1.999939
0.1223145,0.03125,1.131104
0.208252,0.08789063,1.148926
0.3186035,-0.03515625,0.1008301
-0.02539063,-0.1379395,1.198486
-0.1835938,-0.4511719,-0.609375
-0.1252441,-0.04052734,1.999939
-0.03027344,0.1472168,1.999939
-0.1220703,-0.0703125,1.999939
-0.3269043,-0.0847168,1.273926
-0.232666,-0.2302246,-0.661377
0.1677246,-0.1821289,-2.0
